"","0","1","p","test"
"n","    39","    32","",""
"race (%)","    ","    "," 0.366",""
"   Asian/Mideast Indian","     1 ( 2.6) ","     0 ( 0.0) ","",""
"   Black/African-American","    25 (64.1) ","    19 (59.4) ","",""
"   Hispanic","     2 ( 5.1) ","     6 (18.8) ","",""
"   More than one Race","     1 ( 2.6) ","     0 ( 0.0) ","",""
"   Native Hawaiian/Other Pacific Islander","     1 ( 2.6) ","     0 ( 0.0) ","",""
"   White","     9 (23.1) ","     7 (21.9) ","",""
"sex = Male (%)","    19 (48.7) ","    18 (60.0) "," 0.491",""
"age (median [IQR])"," 58.97 [51.91, 69.01]"," 66.21 [56.56, 72.66]"," 0.168","nonnorm"
"bmi (median [IQR])"," 31.51 [27.96, 38.78]"," 30.73 [26.83, 34.08]"," 0.432","nonnorm"
"HTN = 1 (%)","    23 (59.0) ","    23 (71.9) "," 0.377",""
"HLD = 1 (%)","    12 (30.8) ","    11 (34.4) "," 0.946",""
"DM = 1 (%)","    13 (33.3) ","    12 (37.5) "," 0.908",""
"CHF = 1 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",""
"pAF = 1 (%)","     3 ( 7.7) ","     1 ( 3.1) "," 0.754",""
"CAD = 1 (%)","     5 (12.8) ","     1 ( 3.1) "," 0.302",""
"CVA = 1 (%)","     5 (12.8) ","     2 ( 6.2) "," 0.600",""
"COPD = 1 (%)","     3 ( 7.7) ","     1 ( 3.1) "," 0.754",""
"Asthma = 1 (%)","     5 (12.8) ","     0 ( 0.0) "," 0.102",""
"ILD = 1 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",""
"OSA = 1 (%)","     7 (17.9) ","     3 ( 9.4) "," 0.490",""
"Malignancy = 1 (%)","     6 (15.4) ","     3 ( 9.4) "," 0.690",""
"CLD = 1 (%)","     2 ( 5.1) ","     4 (12.5) "," 0.495",""
"CKD = 1 (%)","     3 ( 7.7) ","     8 (25.0) "," 0.094",""
"ESRD = 1 (%)","     0 ( 0.0) ","     2 ( 6.2) "," 0.388",""
"Tobacco = Never (%)","    27 (69.2) ","    25 (78.1) "," 0.567",""
"sofa (median [IQR])","  5.00 [4.00, 9.00]","  9.00 [8.00, 9.00]","<0.001","nonnorm"
"Charlson (median [IQR])","  3.00 [2.00, 4.50]","  4.00 [2.00, 5.00]"," 0.551","nonnorm"
"APACHE (median [IQR])"," 18.00 [13.00, 22.50]"," 23.00 [19.00, 30.25]"," 0.002","nonnorm"
"PaO2FiO2 (median [IQR])"," 95.00 [80.00, 160.00]"," 91.00 [77.00, 158.50]"," 0.911","nonnorm"
"Admission (%)","    ","    "," 0.229",""
"   ED","    25 (64.1) ","    14 (43.8) ","",""
"   Hospital Medicine","     8 (20.5) ","    10 (31.2) ","",""
"   OSH","     6 (15.4) ","     8 (25.0) ","",""
"steroid = 1 (%)","    28 (71.8) ","    23 (71.9) "," 1.000",""
"remd_treat = 1 (%)","    28 (71.8) ","    22 (68.8) "," 0.985",""
"InvSimpson (median [IQR])"," 10.77 [7.53, 18.05]"," 10.80 [5.74, 20.70]"," 0.931","nonnorm"
"proteo_doms = 2 (%)","     9 (23.1) ","    16 (50.0) "," 0.035",""
"entero_doms = 2 (%)","     3 ( 7.7) ","     3 ( 9.4) "," 1.000",""
"Betalactams = 1 (%)","     8 (20.5) ","     5 (15.6) "," 0.825",""
"Levofloxicin = 1 (%)","     1 ( 2.6) ","     0 ( 0.0) "," 1.000",""
"Vancomycin = 2 (%)","     9 (23.1) ","    13 (40.6) "," 0.183",""
"Metronidazole = 1 (%)","     3 ( 7.7) ","     4 (12.5) "," 0.782",""
"Macrolides = 1 (%)","     8 (20.5) ","     6 (18.8) "," 1.000",""
"Doxycycline = 1 (%)","     5 (12.8) ","     1 ( 3.1) "," 0.302",""
"Trimethoprim-Sulfamethoxazole = 1 (%)","     5 (12.8) ","     2 ( 6.2) "," 0.600",""
"Aminoglycosides = 1 (%)","     1 ( 2.6) ","     0 ( 0.0) "," 1.000",""
"Symptom_Days (median [IQR])","  5.00 [3.00, 7.00]","  5.00 [2.75, 8.00]"," 0.912","nonnorm"
"ESR (median [IQR])"," 84.50 [69.75, 115.25]","116.00 [71.75, 120.00]"," 0.311","nonnorm"
"CRP (median [IQR])"," 77.50 [28.25, 155.00]","119.00 [82.00, 176.75]"," 0.100","nonnorm"
"PTT (median [IQR])"," 34.70 [30.60, 62.15]"," 37.95 [32.88, 58.70]"," 0.419","nonnorm"
"LDH (median [IQR])","451.00 [375.50, 540.75]","611.00 [477.00, 686.50]"," 0.010","nonnorm"
"Hemoglobin (median [IQR])"," 12.80 [11.72, 14.38]"," 10.95 [8.28, 12.80]","<0.001","nonnorm"
"Platelet (median [IQR])","241.00 [169.50, 323.00]","202.00 [119.50, 284.50]"," 0.055","nonnorm"
"WBC (median [IQR])","  9.50 [6.65, 12.80]","  8.90 [7.18, 11.60]"," 0.720","nonnorm"
"Neutrophil (median [IQR])"," 71.00 [6.57, 82.00]"," 10.51 [5.39, 86.00]"," 0.481","nonnorm"
"Basophil (median [IQR])","  0.01 [0.00, 0.03]","  0.01 [0.00, 0.02]"," 0.605","nonnorm"
"Eosinophil (median [IQR])","  0.00 [0.00, 0.00]","  0.00 [0.00, 0.00]"," 0.871","nonnorm"
"3-oxolithocholic acid (median [IQR])","  4.71 [0.64, 54.90]","  1.88 [0.06, 14.03]"," 0.086","nonnorm"
"alloisolithocholic acid (median [IQR])","  0.44 [0.00, 2.79]","  0.20 [0.00, 6.18]"," 0.482","nonnorm"
"taurocholic acid (median [IQR])","  0.55 [0.22, 2.23]","  0.30 [0.08, 24.06]"," 0.391","nonnorm"
"cholic acid (median [IQR])"," 16.21 [1.48, 215.59]","  7.92 [0.79, 88.15]"," 0.214","nonnorm"
"deoxycholic acid (median [IQR])"," 74.09 [18.61, 246.34]"," 10.68 [0.49, 62.50]"," 0.003","nonnorm"
"lithocholic acid (median [IQR])"," 61.61 [4.30, 252.61]","  9.76 [0.24, 60.07]"," 0.008","nonnorm"
"glycocholic acid (median [IQR])","  0.43 [0.18, 2.83]","  0.45 [0.03, 11.78]"," 0.511","nonnorm"
"isodeoxycholic acid (median [IQR])","  7.60 [0.70, 25.09]","  2.89 [0.06, 10.93]"," 0.038","nonnorm"
"acetate (median [IQR])","  3.87 [2.29, 20.44]","  3.13 [1.17, 11.23]"," 0.175","nonnorm"
"butyrate (median [IQR])","  0.51 [0.20, 2.39]","  0.29 [0.06, 0.97]"," 0.286","nonnorm"
"propionate (median [IQR])","  1.55 [0.47, 4.94]","  0.75 [0.19, 1.62]"," 0.169","nonnorm"
