"","test","X","X0","X1","p","p.adj"
"1","nonnorm","InvSimpson (median [IQR])","10.77 [7.53, 18.05]","10.80 [5.74, 20.70]"," 0.931",0.931
"2","nonnorm","lithocholic acid (median [IQR])","61.61 [4.30, 252.61]"," 9.76 [0.24, 60.07]"," 0.008",0.056
"3","nonnorm","deoxycholic acid (median [IQR])","74.09 [18.61, 246.34]","10.68 [0.49, 62.50]"," 0.003",0.042
"4","nonnorm","isodeoxycholic acid (median [IQR])"," 7.60 [0.70, 25.09]"," 2.89 [0.06, 10.93]"," 0.038",0.133
"5","nonnorm","cholic acid (median [IQR])","16.21 [1.48, 215.59]"," 7.92 [0.79, 88.15]"," 0.214",0.3745
"6","nonnorm","glycocholic acid (median [IQR])"," 0.43 [0.18, 2.83]"," 0.45 [0.03, 11.78]"," 0.511",0.550307692307692
"7","nonnorm","3-oxolithocholic acid (median [IQR])"," 4.71 [0.64, 54.90]"," 1.88 [0.06, 14.03]"," 0.086",0.2408
"8","nonnorm","alloisolithocholic acid (median [IQR])"," 0.44 [0.00, 2.79]"," 0.20 [0.00, 6.18]"," 0.482",0.550307692307692
"9","nonnorm","taurocholic acid (median [IQR])"," 0.55 [0.22, 2.23]"," 0.30 [0.08, 24.06]"," 0.391",0.5474
"10","nonnorm","butyrate (median [IQR])"," 0.51 [0.20, 2.39]"," 0.29 [0.06, 0.97]"," 0.286",0.444888888888889
"11","nonnorm","propionate (median [IQR])"," 1.55 [0.47, 4.94]"," 0.75 [0.19, 1.62]"," 0.169",0.35
"12","nonnorm","acetate (median [IQR])"," 3.87 [2.29, 20.44]"," 3.13 [1.17, 11.23]"," 0.175",0.35
"13","nonnorm","succinate (median [IQR])"," 0.59 [0.26, 1.58]"," 0.50 [0.18, 1.38]"," 0.431",0.548545454545455
"14","nonnorm","desaminotyrosine (median [IQR])","28.10 [22.74, 46.94]","22.63 [21.00, 32.30]"," 0.028",0.130666666666667
"15","nonnorm","mmp_score (median [IQR])"," 1.00 [0.00, 2.00]"," 2.00 [1.00, 4.00]","<0.001",NA
"16","x2","n","   39","   32","",NA
"17","x2","proteo_doms = 2 (%)","    9 (23.1) ","   16 (50.0) "," 0.035",0.07
"18","x2","entero_doms = 2 (%)","    3 ( 7.7) ","    3 ( 9.4) "," 1.000",1
